,mean,std
Q1_1,0.6717791411042945,0.8433797914900149
Q1_2,0.7975460122699386,0.8975734787321659
Q1_3,0.9662576687116564,0.9666665801428729
Q1_4,1.0797546012269938,0.8997722622022317
Q1_5,1.1625766871165644,1.2214637648254913
Q1_6,0.9233128834355828,0.9318541811825449
Q1_7,0.44785276073619634,0.7686604891925644
Q1_8,0.8343558282208589,0.9448848644827625
Q1_9,0.8773006134969326,0.9578414263201837
Q1_10,1.021472392638037,1.1061036645461837
Q1_11,0.5122699386503068,0.7419319008763763
Q1_12,1.0429447852760736,1.0021430610161133
Q1_13,0.4723926380368098,0.7373712505738174
Q1_14,0.7085889570552147,0.8815003086975531
Q1_15,1.0950920245398772,1.0910288767655933
Q1_16,0.4049079754601227,0.7061347028190508
Q1_17,1.1411042944785277,1.0265033901461589
Q1_18,0.5644171779141104,0.7392319826158072
Q1_19,0.7914110429447853,0.929766694992522
Q1_20,0.901840490797546,0.982763874718907
Q1_21,0.588957055214724,0.8081643317499236
Q1_22,0.941717791411043,1.1773587967604577
Q1_23,0.5674846625766872,0.8215191252050356
Q1_24,0.7638036809815951,0.9858086329736346
Q1_25,0.8098159509202454,1.0033816884674063
Q1_26,0.7638036809815951,0.9379734116530413
Q1_27,0.8773006134969326,0.9924438828224853
Q1_28,1.0613496932515338,1.1387930944954214
Q1_29,0.9325153374233128,1.0369187150128523
Q1_30,1.861963190184049,1.075077887830787
